IMG,TROOP,STATION,DATE,"LOCATION","e_relation","e_cross_street",Town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings,CITATIONS,CITATIONS/SECTION,1115,1301,1301a,1311,1332,1334,1336,1371,1372,1501,1501,1502,1504a,1505,1510,1511,1511a,1515,"1543",1543A,1543b,1571,1572,1574,1575,1781,1786,3102,3111,3112,3309,3310,3311,3314,3321,3322,3323,3332,3334,3352,3361,3362,3525,3709,3714,3715,3718,3736,3746,3802,3809,4107,4301,4303,4307,4523,4524,4525,4533,4536,4581,4581A,4582,4701,4702,4703,4703A,4706,4729,4730,4882,4903,4905,4925,4942,6308,6502,7101,7711,8306,NOTES
2907,J,Avondale 4220,8/5/2011,SR 796 ,and,Colton Drive, Londonderry Township,Chester County,50,6,3,6,2,25,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2908,J,Avondale 4220,9/30/2011,Baltimore Park,and,Lake Road,London Grove Township,Chester County,75,0,0,0,8,75,,8,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
2909,J,Avondale 4220,10/26/2011,State Road,and,Meadow Wood Lane,London Grove Township,Chester County,60,0,2,11,0,10,,4,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,J,Avondale 4220,11/17/2011,SR 796 ,and,Colton Drive, Londonderry Township,Chester County,100,2,3,2,8,34,,8,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,
2911,J,Avondale 4220,1/28/2012,baltimore park,and,Forge Road,Nottingham Township,,55,0,2,2,0,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2912,J,Avondale 4220,3/27/2012,Baltimore Pike,and,Lake Road,London Grove Township,Chester County,43,0,5,0,0,7,,5,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,J,Avondale 4220,4/30/2012,Baltimore Pike,and,Lake Road,London Grove Township,Chester County,51,0,2,0,0,5,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2914,J,Avondale 4220,5/5/2012,Baltimore Pike,and,Lake Road,London Grove Township,Chester County,60,1,4,8,5,17,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2915,J,Avondale 4220,6/3/2012,Baltimore Pike,and,Lake Road,London Grove Township,Chester County,85,4,4,5,10,48,,10,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,30 seatbelt warnings wereissued
2916,J,Avondale 4220,7/28/2012,Baltimore Pike,and,Lake Road,London Grove Township,Chester County,43,2,5,7,8,16,,8,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2917,J,Avondale 4220,9/28/2012,baltimore park,and,Forge Road,Nottingham Township,,60,0,0,0,8,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2918,J,Avondale 4220,11/2/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,J,Avondale 4220,11/21/2012,Baltimore Pike,and,Shadyside Road,Nottingham Township,,100,0,2,3,0,5,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2920,J,Embreeville 4230,1/28/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,J,Embreeville 4230,2/25/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922,J,Embreeville 4230,3/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2923,J,Embreeville 4230,4/1/2011,1800 block of Strassburg Road,,,West Bradford Township,Chester County,105,0,1,0,0,10,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,J,Embreeville 4230,5/27/2011,Marshalton-Thorndale Road,and,Campus Drive,West Bradford Township,,109,0,0,0,0,5,,10,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,4,,,,,,,,,,,,,,,
2925,J,Embreeville 4230,6/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2926,J,Embreeville 4230,7/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2927,J,Embreeville 4230,8/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,J,Embreeville 4230,9/23/2011,1800 block of Strasburg Road,,,West Bradford Township,Chester County,78,0,1,0,0,15,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,J,Embreeville 4230,10/28/2011,Marshalton-Thorndale Road @ the West Bradford Twp Building,,,,,65,0,2,1,0,3,,6,,,,1,,,,,,,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2930,J,Embreeville 4230,5/29/2012,Marshalton Thorndale Road,south of,Poorhouse Road,West Bradford Township,,128,0,0,0,0,20,,8,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2931,J,Embreeville 4230,6/25/2012,Marshalton Thorndale Road,south of,Poorhouse Road,West Bradford Township,,135,0,0,0,0,25,,3,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,J,Embreeville 4230,7/28/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,J,Embreeville 4230,8/31/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,J,Embreeville 4230,9/28/2012,Marshalton Thorndale Road,south of,Poorhouse Road,West Bradford Township,,104,1,4,4,2,19,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2935,J,Embreeville 4230,10/5/2012,Marshalton Thorndale Road,south of,Poorhouse Road,West Bradford Township,,94,0,2,5,2,23,23,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2936,J,Embreeville 4230,11/23/2012,SR23W/O Rt 100 South Coventry Twp,,,,,50,0,1,9,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2937,J,Ephrata 4250,1/13/2011,SR 625 .5 mile North of Von Neida St,,,,,60,0,1,0,6,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2938,J,Ephrata 4250,3/25/2011,Lauschtown Rd. 1/2 mileeastof SR 897 Brecknock Twp,,,,,58,0,1,3,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2939,J,Ephrata 4250,4/18/2011,West Brubaker Valley Rd. at Lakeview Dr Elizabeth Twp,,,,,25,0,2,1,2,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,J,Ephrata 4250,5/9/2011,SR 897 1/2 mile north of highpoint Dr. Brecknock Twp.,,,,,45,0,1,4,9,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,J,Ephrata 4250,2/3/2012,1100 block of Reading Rd. (SR 625) Brecknock Twp.,,,,,45,0,0,0,7,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,1/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943,H,Harrisburg 2110,2/25/2011,"SR 6443 @ Firehouse Road, S Hanover Twp, Dauphin County (?)",,,,,50,1,1,0,0,10,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,3/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,6/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,12/30/2011,Jonestown Rd at Manada Gap Rd,,,,,35,0,3,0,0,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,11/30/2012,"Fox Run Rd. at Dallas Dr. East Hanover Twp., Dauphin Co",,,,,30,0,0,0,0,5,,4,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,5/1/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Harrisburg 2110,6/29/2012,"Toll House Rd just south of Colebrook Rd., Londonderry Twp",,,,,38,0,0,0,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,H,Harrisburg 2110,7/30/2012,SR 39 between Jonestown Rd. and SR 22,,,,,48,0,1,2,0,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,H,Harrisburg 2110,8/29/2012,"Firehouse Rd South of Rt 443, East Hanover Twp",,,,,41,0,2,4,0,13,,10,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2952,H,Harrisburg 2110,9/25/2012,Fox Run Rd. at Bow Creek Rd. East Hanover Twp,,,,,38,0,0,1,3,13,,3,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2953,H,Harrisburg 2110,10/18/2012,Jonestown Rd at Manada Gap Rd,,,,,28,0,1,1,0,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2954,H,Carlisle 2120,1/5/2011,"Park Drive,South Middletown Twp, Cumberland Co.",,,,,32,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2955,H,Carlisle 2120,2/24/2011,"Park Drive,South Middletown Twp, Cumberland Co.",,,,,84,1,2,1,1,13,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,H,Carlisle 2120,6/6/2011,AlexanderSpring Rd approx 1/4 mile south of Commerce Ave,,,,,87,0,2,1,0,13,,2,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2957,H,Carlisle 2120,12/14/2011,AlexanderSpring Rd approx 1/4 mile south of Commerce Ave,,,,,59,3,1,2,0,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,H,Carlisle 2120,5/24/2012,"Pine Road, Penn Township, Cumberland County",,,,,42,0,0,0,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,H,Carlisle 2120,8/3/2012,"SR 174 just east of Pheasant Lane, South Middleton Twp. Cumberland Co.",,,,,65,3,2,1,0,9,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2960,H,Carlisle 2120,8/28/2012,"500-block Park Drive, South Middleton Township",,,,,60,0,0,0,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
2961,H,Chambersburg,9/25/2012,"SR 1003 (Ragged Edge Road) in the area of Edgewood Drie, GreeneTwp.",,,,,74,2,0,1,2,11,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2962,H,Carlisle 2120,9/30/2012,Walnut Bottom Rd. & Sprint Dr.,,,,,48,0,0,0,3,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Carlisle 2120,10/27/2012,"Alexander Spring Road, one quarter mile northo f Allen Road",,,,,18,0,0,0,0,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Carlisle 2120,11/21/2012,"Oak Flat Rd. W of SR 233, West Pennsboro Twp, Cumberland Co.",,,,,25,0,1,0,1,3,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Chambersburg,1/20/2011,"Ragged EdgeRd at Edgewood Dr. Guilford Twp,Franklin Co.",,,,,50,3,4,3,1,18,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,Chambersburg,2/9/2011,Ragged Edge Road; Guilford Twp; Franklin County,,,,,50,0,1,1,0,6,,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2967,H,Chambersburg,2/26/2011,Falling Spring Rd. approximately 1/4 mile south of SR 30,,,,,40,1,1,0,0,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
