IDX,IMG,TROOP,STATION,DATE,location_original,street_number,street_name,cross_street,relation,distance_offset,landmark,borough,township,Town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings (where noted),CITATIONS,CITATIONS/SECTION,1115,1301,1301a,1311,1332,1334,1336,1371,1372,1501,1501a,1502,1504a,1505,1510,1511,1511a,1515,1543,1543a,1543b,1571,1572,1574,1575,1781,1786,3102,3111,3112,3309,3310,3311,3314,3321,3322,3323,3332,3334,3352,3361,3362,3525,3709,3714,3715,3718,3736,3746,3802,3809,4107,4301,4303,4307,4523,4524,4525,4533,4536,4581,4581A,4582,4701,4702,4703,4703a,4706,4729,4730,4882,4903,4905,4524.1,4925,4942,6308,6502,7101,7711,8306,NOTES,well_formed,std_address
38,2914.0,J,Avondale 4220,5/5/2012,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,60.0,1,4,8,5,17.0,,5,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
39,2915.0,J,Avondale 4220,6/3/2012,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,85.0,4,4,5,10,48.0,,10,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,30 seatbelt warnings wereissued,True,"baltimore park and lake road, chester county, Pennsylvania"
40,2916.0,J,Avondale 4220,7/28/2012,,,Baltimore Park,Lake Road,,,,,London Grove Township,,Chester County,43.0,2,5,7,8,16.0,,8,,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and lake road, chester county, Pennsylvania"
41,2917.0,J,Avondale 4220,9/28/2012,,,Baltimore Park,Forge Road,,,,,Nottingham Township,,,60.0,0,0,0,8,8.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"baltimore park and forge road, nottingham township, Pennsylvania"
43,2919.0,J,Avondale 4220,11/21/2012,,,Baltimore Park,Shadyside Road,,,,,Nottingham Township,,,100.0,0,2,3,0,5.0,,2,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,"baltimore park and shadyside road, nottingham township, Pennsylvania"
47,2923.0,J,Embreeville 4230,4/1/2011,1800 block of Strassburg Road,1800,Straussburg Road,,,,,,West Bradford Township,,Chester County,105.0,0,1,0,0,10.0,,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"1800 straussburg road, chester county, Pennsylvania"
48,2924.0,J,Embreeville 4230,5/27/2011,,,Marshalton-Thorndale Road,Campus Drive,,,,,West Bradford Township,,,109.0,0,0,0,0,5.0,,10,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,True,"marshalton-thorndale road and campus drive, west bradford township, Pennsylvania"
52,2928.0,J,Embreeville 4230,9/23/2011,1800 block of Strasburg Road,1800,Straussburg Road,,,,,,West Bradford Township,,Chester County,78.0,0,1,0,0,15.0,,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"1800 straussburg road, chester county, Pennsylvania"
53,2929.0,J,Embreeville 4230,10/28/2011,,,Marshalton-Thorndale Road,Poorhouse Road,,,West Bradford Twp Building,,,,,65.0,0,2,1,0,3.0,,6,,,,1.0,,,,,,,,2,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,"marshalton-thorndale road and poorhouse road, Pennsylvania"
54,2930.0,J,Embreeville 4230,5/29/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,West Bradford Township,,,128.0,0,0,0,0,20.0,,8,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
55,2931.0,J,Embreeville 4230,6/25/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,West Bradford Township,,,135.0,0,0,0,0,25.0,,3,,,,,,,,,,,,1,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
58,2934.0,J,Embreeville 4230,9/28/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,West Bradford Township,,,104.0,1,4,4,2,19.0,,3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,True,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
59,2935.0,J,Embreeville 4230,10/5/2012,,,Marshalton Thorndale Road,Poorhouse Road,south of,,,,West Bradford Township,,,94.0,0,2,5,2,23.0,23.0,3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,True,"marshalton thorndale road and poorhouse road, west bradford township, Pennsylvania"
